epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7616.8,1.05784,0.49154,1.05166,0.98505,0.94123,0.97095,0.69792,1.05927,0.42531,1.05573,0.005842,0.005842,0.005842
44,7794.6,1.05459,0.48806,1.05173,0.97472,0.94837,0.96968,0.69922,1.06052,0.42093,1.04834,0.005743,0.005743,0.005743
45,7973.01,1.0451,0.47982,1.04828,0.98752,0.93753,0.97314,0.70268,1.06254,0.4238,1.05154,0.005644,0.005644,0.005644
46,8153.26,1.04301,0.48461,1.04731,0.98239,0.94059,0.97204,0.70105,1.05535,0.41816,1.05114,0.005545,0.005545,0.005545
47,8340.05,1.04833,0.48099,1.04928,0.98363,0.94077,0.96926,0.69873,1.0619,0.41768,1.05453,0.005446,0.005446,0.005446
48,8526.68,1.03658,0.47623,1.04199,0.98973,0.93531,0.9704,0.70283,1.05756,0.42457,1.04523,0.005347,0.005347,0.005347
49,8713.35,1.04363,0.48192,1.04586,0.98614,0.93971,0.97196,0.7037,1.05756,0.41761,1.0475,0.005248,0.005248,0.005248
50,8900.18,1.03742,0.47192,1.04564,0.98261,0.94396,0.96843,0.70196,1.05804,0.41341,1.05019,0.005149,0.005149,0.005149
51,9087.1,1.03653,0.47407,1.04916,0.98334,0.94169,0.97155,0.70989,1.04892,0.40757,1.05048,0.00505,0.00505,0.00505
52,9274.01,1.03077,0.47038,1.03907,0.97516,0.94943,0.96995,0.70442,1.0585,0.40617,1.04801,0.004951,0.004951,0.004951
53,9461.07,1.02801,0.46234,1.04019,0.98725,0.93759,0.97075,0.7058,1.05332,0.40056,1.04095,0.004852,0.004852,0.004852
54,9647.82,1.02714,0.46598,1.03254,0.9806,0.94422,0.97123,0.70891,1.05121,0.40037,1.03717,0.004753,0.004753,0.004753
55,9834.79,1.0364,0.47066,1.03987,0.98437,0.94123,0.97037,0.70498,1.05212,0.40302,1.04248,0.004654,0.004654,0.004654
56,10021.6,1.02459,0.46249,1.03899,0.98025,0.94715,0.97249,0.71255,1.04141,0.39821,1.03889,0.004555,0.004555,0.004555
57,10208.4,1.01797,0.4605,1.03298,0.98661,0.93995,0.97322,0.70886,1.04216,0.40205,1.0399,0.004456,0.004456,0.004456
58,10395.5,1.01694,0.4556,1.03202,0.97655,0.94874,0.97459,0.7129,1.03958,0.39185,1.03384,0.004357,0.004357,0.004357
59,10583.1,1.01272,0.45646,1.02982,0.98388,0.94544,0.97266,0.70968,1.03867,0.39476,1.0366,0.004258,0.004258,0.004258
60,10770.5,1.01087,0.45481,1.03344,0.98922,0.94533,0.97341,0.7117,1.04153,0.38781,1.03583,0.004159,0.004159,0.004159
61,10958.1,1.00817,0.44908,1.02716,0.98481,0.94515,0.97453,0.71398,1.04315,0.39366,1.03162,0.00406,0.00406,0.00406
62,11146.1,1.00603,0.4466,1.02615,0.98796,0.94305,0.97431,0.71438,1.04087,0.38806,1.03493,0.003961,0.003961,0.003961
63,11334,1.00541,0.44724,1.02814,0.98031,0.94806,0.97295,0.7112,1.03921,0.38547,1.03739,0.003862,0.003862,0.003862
64,11521.5,1.00198,0.44096,1.02972,0.98114,0.9478,0.97445,0.71471,1.03548,0.38514,1.03867,0.003763,0.003763,0.003763
65,11709.4,0.9925,0.44282,1.02283,0.98386,0.94448,0.97388,0.71344,1.04266,0.38246,1.03558,0.003664,0.003664,0.003664
66,11897.2,0.99664,0.44075,1.02186,0.98518,0.94396,0.97435,0.71509,1.03494,0.38469,1.03324,0.003565,0.003565,0.003565
67,12085.7,0.99927,0.43944,1.0295,0.98204,0.94672,0.97361,0.71198,1.03732,0.38401,1.03776,0.003466,0.003466,0.003466
68,12273.9,0.98885,0.436,1.01804,0.98455,0.94305,0.97066,0.71442,1.03738,0.38065,1.03397,0.003367,0.003367,0.003367
69,12461.2,0.98392,0.43313,1.01972,0.98237,0.94351,0.97236,0.71497,1.0358,0.37755,1.03242,0.003268,0.003268,0.003268
70,12648.6,0.97489,0.4251,1.01575,0.9838,0.94852,0.97508,0.71461,1.04014,0.37724,1.03247,0.003169,0.003169,0.003169
71,12836.4,0.98375,0.43067,1.01609,0.98669,0.94574,0.97501,0.71397,1.03755,0.37912,1.03154,0.00307,0.00307,0.00307
72,13024.6,0.97739,0.42382,1.014,0.98518,0.94442,0.9743,0.71508,1.03716,0.37704,1.03079,0.002971,0.002971,0.002971
73,13212.8,0.97735,0.42682,1.01427,0.98625,0.94758,0.97468,0.71551,1.04064,0.37631,1.03288,0.002872,0.002872,0.002872
74,13401.1,0.97739,0.42367,1.01463,0.98397,0.95088,0.97581,0.71615,1.03692,0.37084,1.03064,0.002773,0.002773,0.002773
75,13589.3,0.97691,0.42131,1.01507,0.98715,0.94305,0.97369,0.71519,1.03935,0.37518,1.03593,0.002674,0.002674,0.002674
76,13779.9,0.96963,0.42011,1.01629,0.98538,0.94487,0.97276,0.71733,1.03596,0.37456,1.03451,0.002575,0.002575,0.002575
77,13967.8,0.96818,0.41653,1.01101,0.98208,0.94865,0.97419,0.71621,1.03903,0.37233,1.03423,0.002476,0.002476,0.002476
78,14154.8,0.96002,0.41449,1.00777,0.98166,0.95103,0.97609,0.71844,1.03713,0.37166,1.03248,0.002377,0.002377,0.002377
79,14342.6,0.95337,0.40763,1.00471,0.98669,0.94543,0.97488,0.71803,1.03691,0.37116,1.03217,0.002278,0.002278,0.002278
80,14530.3,0.95432,0.40995,1.0046,0.98188,0.94989,0.97453,0.71508,1.03966,0.37196,1.03394,0.002179,0.002179,0.002179
81,14718.2,0.9627,0.41091,1.00611,0.98674,0.94904,0.97509,0.71645,1.0393,0.36987,1.03496,0.00208,0.00208,0.00208
82,14905.3,0.95627,0.4067,1.00662,0.98256,0.94952,0.97482,0.71547,1.0423,0.36892,1.0355,0.001981,0.001981,0.001981
83,15093.1,0.94377,0.40321,1.00178,0.98291,0.94943,0.9745,0.71634,1.04213,0.36896,1.03216,0.001882,0.001882,0.001882
